entidad,clase_especifica
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_dadd7428-9e4d-4652-9469-ab521b88d529,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-GBM_3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-GBM_3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-GBM_407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-GBM_41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_d209cffc-fe21-4ae7-b610-e5668ea84a3b,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_d3d8987d-0a54-45f8-b9c9-17ec89fa864e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_d50e944a-3ce4-4632-a878-118499e143e3,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_da13446a-c4dc-4d02-80c8-410273925ac4,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_dadd7428-9e4d-4652-9469-ab521b88d529,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11522_TCGA-LGG_ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-GBM_3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-GBM_3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-GBM_407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-GBM_41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_d209cffc-fe21-4ae7-b610-e5668ea84a3b,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_d3d8987d-0a54-45f8-b9c9-17ec89fa864e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_d50e944a-3ce4-4632-a878-118499e143e3,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_da13446a-c4dc-4d02-80c8-410273925ac4,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_dadd7428-9e4d-4652-9469-ab521b88d529,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_11580_TCGA-LGG_ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-GBM_3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-GBM_3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-GBM_407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-GBM_41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_d209cffc-fe21-4ae7-b610-e5668ea84a3b,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_d3d8987d-0a54-45f8-b9c9-17ec89fa864e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_d50e944a-3ce4-4632-a878-118499e143e3,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_da13446a-c4dc-4d02-80c8-410273925ac4,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_dadd7428-9e4d-4652-9469-ab521b88d529,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_14964_TCGA-LGG_ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1546_TCGA-GBM_3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1546_TCGA-GBM_3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1546_TCGA-GBM_407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1546_TCGA-GBM_41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1546_TCGA-LGG_a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1546_TCGA-LGG_a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1546_TCGA-LGG_d209cffc-fe21-4ae7-b610-e5668ea84a3b,http://example.org/biointegrate/ExpressionMeasurement
